year,survey_id,cap_subtopic,count,share,sample_size
1977,814,99,182,0.09090909090909091,2002
1977,814,100,174,0.08691308691308691,2002
1977,814,101,96,0.04795204795204795,2002
1977,814,500,977,0.48801198801198803,2002
1977,814,600,52,0.025974025974025976,2002
1977,814,700,17,0.008491508491508492,2002
1977,814,800,38,0.01898101898101898,2002
1977,814,1200,134,0.06693306693306693,2002
1977,814,1299,28,0.013986013986013986,2002
1977,814,1300,65,0.032467532467532464,2002
1977,814,1303,65,0.032467532467532464,2002
1977,814,1602,1,4.995004995004995e-4,2002
1977,814,1900,85,0.042457542457542456,2002
1977,814,1910,5,0.0024975024975024975,2002
1977,814,1999,3,0.0014985014985014985,2002
1977,814,2012,49,0.024475524475524476,2002
1977,814,2099,6,0.002997002997002997,2002
1977,814,2500,25,0.012487512487512488,2002
1978,1220,99,79,0.03928393833913476,2011
1978,1323,99,338,0.056559571619812586,5976
1978,1220,100,161,0.0800596718050721,2011
1978,1323,100,485,0.08115796519410977,5976
1978,1220,101,56,0.0278468423669816,2011
1978,1323,101,153,0.025602409638554216,5976
1978,1323,105,47,0.0078647925033467209,5976
1978,1323,107,164,0.02744310575635877,5976
1978,1323,110,182,0.030455153949129853,5976
1978,1323,200,41,0.006860776439089692,5976
1978,1323,207,4,6.693440428380187e-4,5976
1978,1323,209,39,0.006526104417670682,5976
1978,1323,230,43,0.007195448460508702,5976
1978,1323,300,27,0.004518072289156626,5976
1978,1220,500,1042,0.5181501740427648,2011
1978,1323,500,2237,0.374330655957162,5976
1978,1323,503,3,5.02008032128514e-4,5976
1978,1323,504,20,0.0033467202141900937,5976
1978,1323,505,15,0.0025100401606425703,5976
1978,1323,506,372,0.06224899598393574,5976
1978,1220,600,16,0.007956240676280457,2011
1978,1323,600,50,0.008366800535475234,5976
1978,1323,601,11,0.0018406961178045514,5976
1978,1323,602,109,0.018239625167336012,5976
1978,1323,604,9,0.0015060240963855422,5976
1978,1323,609,5,8.366800535475234e-4,5976
1978,1220,700,7,0.0034808552958727,2011
1978,1323,700,88,0.014725568942436412,5976
1978,1220,800,16,0.007956240676280457,2011
1978,1323,800,53,0.008868808567603748,5976
1978,1323,801,28,0.004685408299866131,5976
1978,1323,1000,8,0.0013386880856760374,5976
1978,1323,1001,2,3.3467202141900936e-4,5976
1978,1220,1200,352,0.17503729487817007,2011
1978,1323,1200,168,0.028112449799196786,5976
1978,1323,1208,60,0.010040160642570281,5976
1978,1323,1227,296,0.049531459170013385,5976
1978,1220,1299,23,0.011437095972153158,2011
1978,1220,1300,44,0.02187966185977126,2011
1978,1323,1300,130,0.02175368139223561,5976
1978,1220,1303,92,0.04574838388861263,2011
1978,1323,1303,333,0.05572289156626506,5976
1978,1323,1308,123,0.020582329317269075,5976
1978,1323,1403,1,1.6733601070950468e-4,5976
1978,1323,1406,22,0.003681392235609103,5976
1978,1323,1600,8,0.0013386880856760374,5976
1978,1220,1602,8,0.003978120338140228,2011
1978,1323,1605,3,5.02008032128514e-4,5976
1978,1323,1800,8,0.0013386880856760374,5976
1978,1220,1900,69,0.034311287916459474,2011
1978,1323,1900,174,0.029116465863453816,5976
1978,1323,1901,13,0.002175368139223561,5976
1978,1220,1910,1,4.972650422675286e-4,2011
1978,1323,1910,28,0.004685408299866131,5976
1978,1323,1916,1,1.6733601070950468e-4,5976
1978,1220,1999,5,0.002486325211337643,2011
1978,1323,2002,20,0.0033467202141900937,5976
1978,1220,2012,31,0.015415216310293387,2011
1978,1323,2012,26,0.004350736278447122,5976
1978,1220,2500,9,0.0044753853804077575,2011
1978,1323,2500,29,0.0048527443105756355,5976
1979,1324,99,192,0.04844814534443603,3963
1979,1324,100,297,0.07494322482967448,3963
1979,1324,101,139,0.035074438556649004,3963
1979,1324,105,38,0.009588695432752965,3963
1979,1324,107,106,0.026747413575574062,3963
1979,1324,110,270,0.06813020439061317,3963
1979,1324,200,57,0.014383043149129448,3963
1979,1324,207,10,0.0025233409033560434,3963
1979,1324,209,4,0.0010093363613424174,3963
1979,1324,230,26,0.006560686348725713,3963
1979,1324,300,24,0.006056018168054504,3963
1979,1324,500,720,0.18168054504163514,3963
1979,1324,504,3,7.57002271006813e-4,3963
1979,1324,505,8,0.0020186727226848347,3963
1979,1324,506,127,0.03204642947262175,3963
1979,1324,600,25,0.0063083522583901085,3963
1979,1324,601,4,0.0010093363613424174,3963
